transTheme,districtName,bigEstateName,estateName,buildingName,address,yAxis,xAxis,transactionPrice,postType,typeCode,floorPlans,picture,thumbnailUrl,gArea,gUnitPrice,nArea,nUnitPrice,insDate,detailUrl,bedroomCount,oldTransactionID,estateType,unitType,direction,scp_mkt,terr,db,hma,hmaDesc,hmaThumbnail
Post,Nob Hill,,Nob Hill,Tower 2,8 King Lai Path,Lower Floor,Flat B,16000,R,2-AEPPWPPJPY,['https://hkfloorplan.centanet.com/img/img.aspx?dir=newFP\\202205&name=117923_2000_Centaline.png'],"{'thumbnailType': 'Image', 'thumbnailPath': 'https://hkis.centanet.com/p/LkMEO9nfi_hmiTp1nrnumWotKhYs_i5-.jpg'}",https://hkis.centanet.com/p/LkMEO9nfi_hmiTp1nrnumWotKhYs_i5-.jpg,673,24,480,33,2022-10-06T12:00:00,centaline://themedetail?theme=tran&id=FM3202209R0244,2,20221006-AC-FM3202209R0244,Normal,AP,,KL,Kowloon,Sham Shui Po District,Nob Hill,"There are 696 private residential units, involving 4,246 population in Nob Hill(Sham Shui Po District). Major estates include Ching Lai Court,Nob Hill.The median of monthly income of the district is HK$ 40,000 with a median age of 43.2.",https://hk.centanet.com:443/imgresize/hma/HMA089.jpg?q=1
Post,Sheung Wan,,,Macro Garden (Ka Lok Garden),128 Queen's Road West,Lower Floor,Flat B,15500,R,2-TTNXIHXXHD,['https://hkfloorplan.centanet.com/img/img.aspx?dir=201007&name=30cpal00022211VFTBVMMH.jpg'],"{'thumbnailType': 'Image', 'thumbnailPath': 'https://hkis.centanet.com/p/dQG8_ao65s4xx2M3fRPJv4p2cU13pXUl.jpg'}",https://hkis.centanet.com/p/dQG8_ao65s4xx2M3fRPJv4p2cU13pXUl.jpg,541,29,315,49,2022-10-06T12:00:00,centaline://themedetail?theme=tran&id=HBN1202209R0249,,20221006-AC-HBN1202209R0249,Single,AP,,HK,Hong Kong Island,Central and Western District,Sheung Wan,"There are 12,196 private residential units, involving 24,756 population in Sheung Wan(Central and Western District).Major streets included Queen's Road Central(Sheung Wan Section)、Queen's Road West(Sheung Wan Section)、Hollywood Road(Sheung Wan Section)、Des Voeux Road West(Sheung Wan Section)、Des Voeux Road Central(Sheung Wan Section). Major estates include Queen's Terrace,Hollywood Terrace,Centre Stage,Midland Centre,Hongway Garden.The median of monthly income of the district is HK$ 31,000 with a median age of 43.8.",https://hk.centanet.com:443/imgresize/hma/HMA012.jpg?q=1
Post,Ho Man Tin,,Harrison Court,Block VI,10 Man Wan Road,Upper Floor,Flat C,14180000,S,2-MDZSZHSVHD,[],"{'thumbnailType': 'Image', 'thumbnailPath': 'https://hkis.centanet.com/p/DfgUapHmwq1GuiAF85GhLRkOCTUP3Q1d.jpg'}",https://hkis.centanet.com/p/DfgUapHmwq1GuiAF85GhLRkOCTUP3Q1d.jpg,1000,14180,987,14367,2022-10-06T12:00:00,centaline://themedetail?theme=tran&id=HOT202209S0312,,20221006-AC-HOT202209S0312,Normal,AP,,KL,Kowloon,Kowloon City District,Ho Man Tin,"There are 21,901 private residential units, involving 99,865 population in Ho Man Tin(Kowloon City District).Major streets included Fat Kwong Street(Ho Man Tin Section)、Prince Edward Road West(Ho Man Tin Section)、Argyle Street(Ho Man Tin Section)、Waterloo Road(Ho Man Tin Section)、Boundary Street(Ho Man Tin Section)、Princess Margaret Road(Ho Man Tin Section). Major estates include Mantin Heights,Chun Man Court,Celestial Heights,One Homantin,Cascades.The median of monthly income of the district is HK$ 31,120 with a median age of 46.6.",https://hk.centanet.com:443/imgresize/hma/HMA058.jpg?q=1
Post,Whampoa,,Harbour Place,Tower 6,8 Oi King Street,Upper Floor,Flat D,22800,R,2-ESPPWPPHPA,['https://hkfloorplan.centanet.com/img/img.aspx?dir=201105&name=06cpal00027953KTAHVIPJ.jpg'],"{'thumbnailType': 'Image', 'thumbnailPath': 'https://hkis.centanet.com/p/jEBxXWb6do_NInwhHqV-u_SPiLSOXIzc.jpg'}",https://hkis.centanet.com/p/jEBxXWb6do_NInwhHqV-u_SPiLSOXIzc.jpg,770,30,589,39,2022-10-06T12:00:00,centaline://themedetail?theme=tran&id=KHU1202209R0221,3,20221006-AC-KHU1202209R0221,Normal,AP,South East,KL,Kowloon,Kowloon City District,Whampoa,"There are 17,595 private residential units, involving 50,945 population in Whampoa(Kowloon City District).Major streets included Baker Street(Whampoa Section). Major estates include Whampoa Garden,Harbour Place,Whampoa Estate,Royal Peninsula,Stars By The Harbour.The median of monthly income of the district is HK$ 45,400 with a median age of 39.6.",https://hk.centanet.com:443/imgresize/hma/HMA133.jpg?q=1
Post,Olympic Station,Park Avenue,Phase 1,Tower 9,18 Hoi Ting Road,Middle Floor,Flat B,18100000,S,3-EEPPWPPEPW,['https://hkfloorplan.centanet.com/img/img.aspx?dir=newFP\\202105&name=28700_2000_Centaline.png'],"{'thumbnailType': 'Image', 'thumbnailPath': 'https://hkis.centanet.com/p/jeNnLaJ2_oDFOdzDoYj_-P6OibWPXY3d.jpg'}",https://hkis.centanet.com/p/jeNnLaJ2_oDFOdzDoYj_-P6OibWPXY3d.jpg,1127,16060,848,21344,2022-10-06T12:00:00,centaline://themedetail?theme=tran&id=KIW8202209S0154,3,20221006-AC-KIW8202209S0154,Phase,AP,South West,KL,Kowloon,Yau Tsim Mong District,Olympic Station,"There are 12,294 private residential units, involving 31,962 population in Olympic Station(Yau Tsim Mong District). Major estates include Park Avenue,The Long Beach,Island Harbourview,Harbour Green,Hampton Place.The median of monthly income of the district is HK$ 68,000 with a median age of 39.3.",https://hk.centanet.com:443/imgresize/hma/HMA134.jpg?q=1
Post,Tai Kok Tsui,,Cetus‧Square Mile,Tower 1,18 Ka Shin Street,Lower Floor,Flat J,14500,R,2-EEEPWWPXWS,['https://hkfloorplan.centanet.com/img/img.aspx?dir=newFP\\202111&name=118456_2000_Centaline.png'],"{'thumbnailType': 'Image', 'thumbnailPath': 'https://hkis.centanet.com/p/EUndQjwHpbpaiCWZA8n_3NkSFSkTwRFB.jpg'}",https://hkis.centanet.com/p/EUndQjwHpbpaiCWZA8n_3NkSFSkTwRFB.jpg,,,249,58,2022-10-06T12:00:00,centaline://themedetail?theme=tran&id=KOA3202209R0400,1,20221006-AC-KOA3202209R0400,Normal,AP,,KL,Kowloon,Yau Tsim Mong District,Tai Kok Tsui,"There are 21,121 private residential units, involving 79,898 population in Tai Kok Tsui(Yau Tsim Mong District).Major streets included Hoi Ting Road(Tai Kok Tsui Section)、Tung Chau Street(Tai Kok Tsui Section)、Prince Edward Road West(Tai Kok Tsui Section). Major estates include Metro Harbour View,Charming Garden,Cosmopolitan Estates,Hoi Fu Court,Cetus‧Square Mile.The median of monthly income of the district is HK$ 23,000 with a median age of 44.0.",https://hk.centanet.com:443/imgresize/hma/HMA015.jpg?q=1
Post,Tseung Kwan O,,Savannah,Tower 3A,3 Chi Shin Street,Upper Floor,Flat B,26000,R,2-YASPWPPXPY,['https://hkfloorplan.centanet.com/img/img.aspx?dir=newFP\\202109&name=45085_2000_Centaline.png'],"{'thumbnailType': 'Image', 'thumbnailPath': 'https://hkis.centanet.com/p/RiFnCkzkMUEE070fNulPaOJFQn5ElkYW.jpg'}",https://hkis.centanet.com/p/RiFnCkzkMUEE070fNulPaOJFQn5ElkYW.jpg,,,695,37,2022-10-06T12:00:00,centaline://themedetail?theme=tran&id=KTN8202209R0241,3,20221006-AC-KTN8202209R0241,Normal,AP,,KL,Kowloon,Tseung Kwan O (Sai Kung District),Tseung Kwan O,"There are 17,737 private residential units, involving 118,623 population in Tseung Kwan O(Sai Kung District).Major streets included Po Hong Road(Tseung Kwan O Section). Major estates include The Wings,Park Central,Tseung Kwan O Plaza,Kwong Ming Court,The Grandiose.The median of monthly income of the district is HK$ 30,490 with a median age of 42.0.",https://hk.centanet.com:443/imgresize/hma/HMA112.jpg?q=1
Post,Cheung Sha Wan,,Lei Cheng Uk Estate,Lim Kit House (Block 6),10 Fat Tseung Street,Lower Floor,Flat 12,4600000,S,2-EGPPWPPJPE,['https://hkfloorplan.centanet.com/img/img.aspx?dir=newFP\\202203&name=154651_2000_Centaline.png'],"{'thumbnailType': 'Image', 'thumbnailPath': 'https://hkis.centanet.com/p/IRR22P0kBuZtn2Q_KWyW1bAiJRkj8SFx.jpg'}",https://hkis.centanet.com/p/IRR22P0kBuZtn2Q_KWyW1bAiJRkj8SFx.jpg,,,491,9369,2022-10-06T12:00:00,centaline://themedetail?theme=tran&id=MNF202209S0274,,20221006-AC-MNF202209S0274,Normal,AP,,KL,Kowloon,Sham Shui Po District,Cheung Sha Wan,"There are 19,575 private residential units, involving 131,188 population in Cheung Sha Wan(Sham Shui Po District).Major streets included Un Chau Street(Cheung Sha Wan Section)、Castle Peak Road(Cheung Sha Wan Section)、Fat Tseung Street(Cheung Sha Wan Section)、Fuk Wing Street(Cheung Sha Wan Section)、Cheung Sha Wan Road(Cheung Sha Wan Section)、Lai Chi Kok Road(Cheung Sha Wan Section)、Fuk Wa Street(Cheung Sha Wan Section)、Yee Kuk Street(Cheung Sha Wan Section)、Hai Tan Street(Cheung Sha Wan Section)、Hing Wah Street(Cheung Sha Wan Section). Major estates include Lai Tsui Court,Lei Cheng Uk Estate,Nam Cheong Estate,Manor Centre,Hang Chun Court.The median of monthly income of the district is HK$ 18,000 with a median age of 46.2.",https://hk.centanet.com:443/imgresize/hma/HMA077.jpg?q=1
Post,Kennedy Town,,The Merton,Tower 2,38 New Praya Kennedy Town,Middle Floor,Flat C,22000,R,2-SSPPWPPYPS,['https://hkfloorplan.centanet.com/img/img.aspx?dir=newFP\\202109&name=60008_2000_Centaline.png'],"{'thumbnailType': 'Image', 'thumbnailPath': 'https://hkis.centanet.com/p/nmzhl11mG6bQENunLe5KDoSdmqacTp7O.jpg'}",https://hkis.centanet.com/p/nmzhl11mG6bQENunLe5KDoSdmqacTp7O.jpg,638,34,474,46,2022-10-06T12:00:00,centaline://themedetail?theme=tran&id=RQ2202209R0973,2,20221006-AC-RQ2202209R0973,Normal,AP,South East,HK,Hong Kong Island,Central and Western District,Kennedy Town,"There are 19,019 private residential units, involving 53,339 population in Kennedy Town(Central and Western District).Major streets included New Praya、Praya、Victoria Road(Kennedy Town Section). Major estates include The Merton,Cayman Rise,Smithfield Terrace,Smithfield Court,New Fortune House.The median of monthly income of the district is HK$ 28,190 with a median age of 44.5.",https://hk.centanet.com:443/imgresize/hma/HMA111.jpg?q=1
Post,Mid-Levels Central,,,Wing Way Court,31 Kennedy Road,Middle Floor,No. 31,56000,R,2-OQUOURQXRO,['https://hkfloorplan.centanet.com/img/img.aspx?dir=201207&name=04cpal00040248VKQUUPSK.jpg'],"{'thumbnailType': 'Image', 'thumbnailPath': 'https://hkis.centanet.com/p/TGIBLAHThRkD3RJSAe-hzexPSHROnEwc.jpg'}",https://hkis.centanet.com/p/TGIBLAHThRkD3RJSAe-hzexPSHROnEwc.jpg,1860,30,1478,38,2022-10-06T12:00:00,centaline://themedetail?theme=tran&id=RY1202209R0709,,20221006-AC-RY1202209R0709,Single,AP,North,HK,Hong Kong Island,Central and Western District,Mid-Levels Central,"There are 8,287 private residential units, involving 24,463 population in Mid-Levels Central(Central and Western District).Major streets included Magazine Gap Road(Mid-Levels Central Section)、Garden Road(Mid-Levels Central Section). Major estates include Hillsborough Court,Tregunter,Phoenix Court,Dynasty Court,Regent On The Park.The median of monthly income of the district is HK$ 104,160 with a median age of 44.0.",https://hk.centanet.com:443/imgresize/hma/HMA026.jpg?q=1
