Source Column,Target Column,data type
transTheme,Transaction_Theme,STRING(256)
districtName,District_Name,STRING
bigEstateName,Big_Estate_Name,STRING
estateName,Estate_Name,STRING
buildingName,Building_Name,STRING
address,Address,STRING
yAxis,Floor_Level,STRING(256)
xAxis,Flat_Number,STRING(256)
transactionPrice,Transaction_Price,STRING
postType,Post_Type,STRING(20)
typeCode,Type_Code,STRING(256)
floorPlans,Floor_Plans,STRING
thumbnailType,Picture_Type,STRING
thumbnailPath,Picture_Path,STRING
gArea,Gross_Area,numeric
gUnitPrice,Gross_Area_Unit_Price,numeric
nArea,Net_Area,numeric
nUnitPrice,Net_Area_Unit_Price,numeric
insDate,Inserted_Date_Api,datetime
detailUrl,Detail_URL,STRING
bedroomCount,Bedroom_Count,numeric
oldTransactionID,Old_Transaction_ID,STRING(256)
estateType,Estate_Type,STRING(256)
unitType,Unit_Type,STRING(20)
direction,Facing_Direction,STRING(256)
scp_mkt,Region_Code,STRING(20)
terr,Region,STRING(256)
db,District_Name_A,STRING(256)
hma,District_Name_B,STRING(256)
hmaDesc,District_Name_B_Description,STRING
hmaThumbnail,District_Thumbnail,STRING
,Source_Flag,STRING			
,Inserted_Date_Audit,DATETIME		
,Inserted_By_Audit,STRING(256)
